baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene Name
750.7254331,0.052386248,0.060397703,0.867354966,0.385747549,0.999729606,ADARB1
29.61223607,-0.085646534,0.393754161,-0.21751271,0.827808803,0.999729606,ADARB2
401.5092042,0.018734401,0.063874097,0.293302004,0.769291322,0.999729606,ADAT1
227.1433789,0.064537599,0.053462507,1.207156245,0.227371977,0.999729606,ADAT2
109.6100513,0.085535571,0.10284304,0.831709873,0.405572727,0.999729606,ADAT3
58.25686208,-0.006205324,0.071850573,-0.086364288,0.931176835,0.999729606,ADC
137.1117524,-0.057303541,0.071410337,-0.802454429,0.422290139,0.999729606,ADCK1
403.559722,0.032567669,0.050421334,0.645910507,0.518337315,0.999729606,ADCK2
1265.726955,-0.036136068,0.069077727,-0.523121847,0.600889463,0.999729606,ADCK3
688.423199,-0.014165658,0.047887619,-0.295810454,0.767374839,0.999729606,ADCK4
301.9734061,0.033878251,0.098555654,0.34374741,0.731036253,0.999729606,ADCK5
4.728694357,0.059836311,0.190907082,0.313431595,0.753952783,0.999729606,ADCY1
3.652534573,-0.026621613,0.159551384,-0.166852914,0.867485783,0.999729606,ADCY10
0.374967205,0.157709975,0.705730422,0.223470563,0.823169291,0.999729606,ADCY2
217.4822356,-0.024301797,0.06600021,-0.368207882,0.712718233,0.999729606,ADCY3
149.4734829,-0.069495625,0.066282169,-1.048481456,0.294416842,0.999729606,ADCY4
